"ID","DATAISTITUZIONE","DATACESSAZIONE","CODISTAT","CODCATASTALE","DENOMINAZIONE_IT","DENOMTRASLITTERATA","ALTRADENOMINAZIONE","ALTRADENOMTRASLITTERATA","ID_PROVINCIA","IDPROVINCIAISTAT","IDREGIONE","IDPREFETTURA","STATO","SIGLAPROVINCIA","FONTE","DATAULTIMOAGG","COD_DENOM"
19687,"1923-02-08","1927-01-11","030946","M135","VOSCHIA","VOSCHIA","","",30,"030","06","","C","UD","","2016-06-17",""
19895,"1927-01-12","1928-08-23","031880","M135","VOSCHIA","VOSCHIA","","",31,"031","06","","C","GO","","2017-11-11",""
11032,"1861-03-17","9999-12-31","004250","M136","VOTTIGNASCO","VOTTIGNASCO","","",4,"004","01","CN","A","CN","","2016-06-17",""
19896,"1921-01-05","1923-02-07","801128","F652","VRABICE","VRABICE","","",31,"031","06","","C","GO","","2016-06-17",""
19897,"1923-02-08","1923-04-26","030883","F652","VRABICE","VRABICE","","",30,"030","06","","C","UD","","2016-06-17",""
11034,"1918-12-13","1992-04-15","079156","M138","ZACCANOPOLI","ZACCANOPOLI","","",79,"079","18","","C","CZ","","2016-06-17",""
11035,"1992-04-16","9999-12-31","102048","M138","ZACCANOPOLI","ZACCANOPOLI","","",102,"102","18","VV","A","VV","","2016-06-17",""
19899,"1861-03-17","1934-04-06","087055","M139","ZAFFERANA ETNEA","ZAFFERANA ETNEA","","",87,"087","19","","C","CT","","2016-06-17",""
19898,"1934-04-07","1951-05-05","087055","M139","ZAFFERANA ETNEA","ZAFFERANA ETNEA","","",87,"087","19","","C","CT","","2016-06-17",""
11036,"1951-05-06","9999-12-31","087055","M139","ZAFFERANA ETNEA","ZAFFERANA ETNEA","","",87,"087","19","CT","A","CT","","2016-06-17",""
11037,"1861-03-17","9999-12-31","079157","M140","ZAGARISE","ZAGARISE","","",79,"079","18","CZ","A","CZ","","2016-06-17",""
19900,"1871-01-15","1990-04-09","058114","M141","ZAGAROLO","ZAGAROLO","","",58,"058","12","","C","RM","","2016-06-17",""
11038,"1990-04-10","9999-12-31","058114","M141","ZAGAROLO","ZAGAROLO","","",58,"058","12","RM","A","RM","","2016-06-17",""
19901,"1920-10-16","1923-02-13","802888","M142","ZAMBANA","ZAMBANA","","",22,"022","04","","C","TN","","2019-06-04",""
22604,"1923-02-14","1928-05-22","022225","M142","ZAMBANA","ZAMBANA","","",22,"022","04","","C","TN","","2019-06-04",""
22605,"1928-05-23","1948-03-01","022225","M142","ZAMBANA","ZAMBANA","","",22,"022","04","","C","TN","","2016-06-17",""
22606,"1948-03-02","1958-06-17","022225","M142","ZAMBANA","ZAMBANA","","",22,"022","04","","C","TN","","2016-06-17",""
11039,"1958-06-18","2018-12-31","022225","M142","ZAMBANA","ZAMBANA","","",22,"022","04","","C","TN","","2019-01-08",""
11041,"1861-03-17","1992-04-15","079158","M143","ZAMBRONE","ZAMBRONE","","",79,"079","18","","C","CZ","","2016-06-17",""
11040,"1992-04-16","9999-12-31","102049","M143","ZAMBRONE","ZAMBRONE","","",102,"102","18","VV","A","VV","","2016-06-17",""
19902,"1861-03-17","1928-10-31","016244","M144","ZANDOBBIO","ZANDOBBIO","","",16,"016","03","","C","BG","","2017-11-11",""
11042,"1948-03-17","9999-12-31","016244","M144","ZANDOBBIO","ZANDOBBIO","","",16,"016","03","BG","A","BG","","2016-06-17",""
11043,"1866-11-19","9999-12-31","024119","M145","ZANÈ","ZANE'","","",24,"024","05","VI","A","VI","","2016-06-17",""
11045,"1861-03-17","9999-12-31","016245","M147","ZANICA","ZANICA","","",16,"016","03","BG","A","BG","","2016-06-17",""
19903,"1861-03-17","1928-05-28","019925","M148","ZAPPELLO","ZAPPELLO","","",19,"019","03","","C","CR","","2017-11-11",""
11136,"1975-05-20","9999-12-31","071064","M267","ZAPPONETA","ZAPPONETA","","",71,"071","16","FG","A","FG","","2016-06-17",""
19904,"1921-01-05","1923-02-07","801256","M149","ZARA","ZARA","","",703,"703","EX","","C","ZA","","2018-01-18",""
11046,"1923-02-08","1947-09-15","703702","M149","ZARA","ZARA","","",703,"703","EX","","C","ZA","","2018-01-18",""
19907,"1861-03-17","1923-07-22","018184","M150","ZAVATTARELLO","ZAVATTARELLO","","",18,"018","03","","C","PV","","2016-06-17",""
19905,"1923-07-23","1927-01-26","033810","M150","ZAVATTARELLO","ZAVATTARELLO","","",33,"033","08","","C","PC","","2016-06-17",""
19906,"1927-01-27","1929-02-23","018184","M150","ZAVATTARELLO","ZAVATTARELLO","","",18,"018","03","","C","PV","","2017-11-11",""
11047,"1956-04-08","9999-12-31","018184","M150","ZAVATTARELLO","ZAVATTARELLO","","",18,"018","03","PV","A","PV","","2016-06-17",""
11048,"1929-02-24","1956-04-08","018890","M151","ZAVATTARELLO VALVERDE","ZAVATTARELLO VALVERDE","","",18,"018","03","","C","PV","","2016-06-17",""
19908,"1871-06-01","1929-02-04","018185","M152","ZECCONE","ZECCONE","","",18,"018","03","","C","PV","","2017-11-11",""
11049,"1947-11-27","9999-12-31","018185","M152","ZECCONE","ZECCONE","","",18,"018","03","PV","A","PV","","2016-06-17",""
19909,"1861-03-17","1927-10-09","092169","M153","ZEDDIANI","ZEDDIANI","","",92,"092","20","","C","CA","","2016-06-17",""
11051,"1947-10-26","1974-08-19","092169","M153","ZEDDIANI","ZEDDIANI","","",92,"092","20","","C","CA","","2016-06-17",""
11050,"1974-08-20","9999-12-31","095074","M153","ZEDDIANI","ZEDDIANI","","",95,"095","20","OR","A","OR","","2016-06-17",""
21656,"1920-10-16","1923-02-13","802106","C590","ZEDES","ZEDES","TSHÖFS","TSHOEFS",22,"022","04","","C","TN","","2019-06-04",""
21657,"1923-02-14","1923-04-26","022971","C590","ZEDES","ZEDES","TSHÖFS","TSHOEFS",22,"022","04","","C","TN","","2019-06-04",""
11052,"1866-11-19","1926-08-23","027808","M154","ZELARINO","ZELARINO","","",27,"027","05","","C","VE","","2017-11-11",""
19910,"1861-03-17","1928-04-14","013246","M156","ZELBIO","ZELBIO","","",13,"013","03","","C","CO","","2017-11-11",""
11054,"1948-03-26","9999-12-31","013246","M156","ZELBIO","ZELBIO","","",13,"013","03","CO","A","CO","","2016-06-17",""
11055,"1928-04-15","1948-03-26","013961","M157","ZELBIO-VELESO","ZELBIO-VELESO","","",13,"013","03","","C","CO","","2016-06-17",""
11057,"1869-02-13","1992-04-15","015245","M158","ZELO BUON PERSICO","ZELO BUON PERSICO","","",15,"015","03","","C","MI","","2016-06-17",""
11056,"1992-04-16","9999-12-31","098061","M158","ZELO BUON PERSICO","ZELO BUON PERSICO","","",98,"098","03","LO","A","LO","","2016-06-17",""
11059,"1861-03-17","2019-02-07","015246","M160","ZELO SURRIGONE","ZELO SURRIGONE","","",15,"015","03","","C","MI","","2019-02-25",""
11060,"1861-03-17","9999-12-31","018186","M161","ZEME","ZEME","","",18,"018","03","PV","A","PV","","2016-06-17",""
11061,"1861-03-17","9999-12-31","018187","M162","ZENEVREDO","ZENEVREDO","","",18,"018","03","PV","A","PV","","2016-06-17",""
11062,"1869-01-23","9999-12-31","026094","M163","ZENSON DI PIAVE","ZENSON DI PIAVE","","",26,"026","05","TV","A","TV","","2016-06-17",""
11063,"1861-03-17","1927-07-02","095812","M164","ZEPPARA","ZEPPARA","","",92,"092","20","","C","CA","","2017-11-11",""
19911,"1861-03-17","1923-07-22","018905","M165","ZERBA","ZERBA","","",18,"018","03","","C","PV","","2016-06-17",""
11064,"1923-07-23","9999-12-31","033047","M165","ZERBA","ZERBA","","",33,"033","08","PC","A","PC","","2016-06-17",""
11065,"1861-03-17","9999-12-31","018188","M166","ZERBO","ZERBO","","",18,"018","03","PV","A","PV","","2016-06-17",""
11066,"1861-03-17","9999-12-31","018189","M167","ZERBOLÒ","ZERBOLO'","","",18,"018","03","PV","A","PV","","2016-06-17",""
19912,"1861-03-17","1927-09-04","092170","M168","ZERFALIU","ZERFALIU","","",92,"092","20","","C","CA","","2016-06-17",""
11068,"1946-02-08","1974-08-19","092170","M168","ZERFALIU","ZERFALIU","","",92,"092","20","","C","CA","","2016-06-17",""
11067,"1974-08-20","9999-12-31","095075","M168","ZERFALIU","ZERFALIU","","",95,"095","20","OR","A","OR","","2016-06-17",""
19913,"1861-03-17","1957-01-23","045017","M169","ZERI","ZERI","","",45,"045","09","","C","MS","","2016-06-17",""
11069,"1957-01-24","9999-12-31","045017","M169","ZERI","ZERI","","",45,"045","09","MS","A","MS","","2016-06-17",""
19914,"1866-11-19","1929-05-29","024120","M170","ZERMEGHEDO","ZERMEGHEDO","","",24,"024","05","","C","VI","","2017-11-11",""
11070,"1947-07-09","9999-12-31","024120","M170","ZERMEGHEDO","ZERMEGHEDO","","",24,"024","05","VI","A","VI","","2016-06-17",""
11071,"1866-11-19","9999-12-31","026095","M171","ZERO BRANCO","ZERO BRANCO","","",26,"026","05","TV","A","TV","","2016-06-17",""
19916,"1866-11-19","1928-04-06","023097","M172","ZEVIO","ZEVIO","","",23,"023","05","","C","VR","","2016-06-17",""
19915,"1928-04-07","1954-05-19","023097","M172","ZEVIO","ZEVIO","","",23,"023","05","","C","VR","","2016-06-17",""
11072,"1954-05-20","9999-12-31","023097","M172","ZEVIO","ZEVIO","","",23,"023","05","VR","A","VR","","2016-06-17",""
12734,"1888-06-15","1928-03-05","033048","L848","ZIANO","ZIANO","","",33,"033","08","","C","PC","","2016-07-27","033518"
12385,"1920-10-16","1923-02-13","802889","M173","ZIANO","ZIANO","","",22,"022","04","","C","TN","","2019-06-04","022517"
17931,"1923-02-14","1929-01-24","022226","M173","ZIANO","ZIANO","","",22,"022","04","","C","TN","","2019-06-04","022517"
17932,"1929-01-25","1947-03-14","022226","M173","ZIANO","ZIANO","","",22,"022","04","","C","TN","","2016-06-17","022517"
17933,"1947-03-15","1955-03-01","022226","M173","ZIANO","ZIANO","","",22,"022","04","","C","TN","","2016-06-17","022517"
11073,"1955-03-02","9999-12-31","022226","M173","ZIANO DI FIEMME","ZIANO DI FIEMME","","",22,"022","04","TN","A","TN","","2016-06-17",""
10728,"1928-03-06","9999-12-31","033048","L848","ZIANO PIACENTINO","ZIANO PIACENTINO","","",33,"033","08","PC","A","PC","","2016-06-17",""
11074,"1861-03-17","2015-12-31","034048","M174","ZIBELLO","ZIBELLO","","",34,"034","08","","C","PR","","2016-06-17",""
19918,"1870-08-02","1965-07-05","015247","M176","ZIBIDO SAN GIACOMO","ZIBIDO SAN GIACOMO","","",15,"015","03","","C","MI","","2016-06-17",""
19917,"1965-07-06","1970-02-11","015247","M176","ZIBIDO SAN GIACOMO","ZIBIDO SAN GIACOMO","","",15,"015","03","","C","MI","","2016-06-17",""
11076,"1970-02-12","9999-12-31","015247","M176","ZIBIDO SAN GIACOMO","ZIBIDO SAN GIACOMO","","",15,"015","03","MI","A","MI","","2016-06-17",""
19920,"1861-03-17","1923-12-21","010945","M177","ZIGNAGO","ZIGNAGO","","",10,"010","07","","C","GE","","2016-06-17",""
19919,"1923-12-22","1956-07-24","011032","M177","ZIGNAGO","ZIGNAGO","","",11,"011","07","","C","SP","","2016-06-17",""
11077,"1956-07-25","9999-12-31","011032","M177","ZIGNAGO","ZIGNAGO","","",11,"011","07","SP","A","SP","","2016-06-17",""
19922,"1866-11-19","1981-04-20","023098","M178","ZIMELLA","ZIMELLA","","",23,"023","05","","C","VR","","2016-06-17",""
19921,"1981-04-21","2007-07-31","023098","M178","ZIMELLA","ZIMELLA","","",23,"023","05","","C","VR","","2016-06-17",""
11078,"2007-08-01","9999-12-31","023098","M178","ZIMELLA","ZIMELLA","","",23,"023","05","VR","A","VR","","2016-06-17",""
19923,"1861-03-17","1927-01-11","003498","M179","ZIMONE","ZIMONE","","",3,"003","01","","C","NO","","2016-06-17",""
11080,"1927-01-12","1992-04-15","002167","M179","ZIMONE","ZIMONE","","",2,"002","01","","C","VC","","2016-06-17",""
11079,"1992-04-16","9999-12-31","096081","M179","ZIMONE","ZIMONE","","",96,"096","01","BI","A","BI","","2016-06-17",""
19924,"1885-04-17","1905-08-19","018190","M180","ZINASCO","ZINASCO","","",18,"018","03","","C","PV","","2016-06-17",""
11081,"1905-08-20","9999-12-31","018190","M180","ZINASCO","ZINASCO","","",18,"018","03","PV","A","PV","","2016-06-17",""
11082,"1861-03-17","1869-03-01","015984","M181","ZIVIDO","ZIVIDO","","",15,"015","03","","C","MI","","2016-06-17",""
11083,"1861-03-17","9999-12-31","010067","M182","ZOAGLI","ZOAGLI","","",10,"010","07","GE","A","GE","","2016-06-17",""
11084,"1880-05-21","9999-12-31","036047","M183","ZOCCA","ZOCCA","","",36,"036","08","MO","A","MO","","2016-06-17",""
19926,"1861-03-17","1928-03-26","016246","M184","ZOGNO","ZOGNO","","",16,"016","03","","C","BG","","2016-06-17",""
19925,"1928-03-27","2002-10-25","016246","M184","ZOGNO","ZOGNO","","",16,"016","03","","C","BG","","2016-06-17",""
11085,"2002-10-26","9999-12-31","016246","M184","ZOGNO","ZOGNO","","",16,"016","03","BG","A","BG","","2016-06-17",""
11086,"1861-03-17","9999-12-31","037060","M185","ZOLA PREDOSA","ZOLA PREDOSA","","",37,"037","08","BO","A","BO","","2016-06-17",""
9073,"1890-03-31","2016-02-22","025068","I345","ZOLDO ALTO","ZOLDO ALTO","","",25,"025","05","","C","BL","","2016-06-17",""
19927,"1921-01-05","1923-02-07","801257","M186","ZOLLA","ZOLLA","","",31,"031","06","","C","GO","","2016-06-17",""
19928,"1923-02-08","1927-01-11","030947","M186","ZOLLA","ZOLLA","","",30,"030","06","","C","UD","","2016-06-17",""
19929,"1927-01-12","1928-01-25","031733","M186","ZOLLA","ZOLLA","","",31,"031","06","","C","GO","","2016-06-17",""
11087,"1928-01-26","1947-09-15","031733","M186","ZOLLA","ZOLLA","","",31,"031","06","","C","GO","","2017-07-14",""
11088,"1861-03-17","9999-12-31","075094","M187","ZOLLINO","ZOLLINO","","",75,"075","16","LE","A","LE","","2016-06-17",""
11089,"1861-03-17","9999-12-31","017205","M188","ZONE","ZONE","","",17,"017","03","BS","A","BS","","2016-06-17",""
19930,"1866-11-19","1955-06-07","025069","M189","ZOPPÈ","ZOPPE'","","",25,"025","05","","C","BL","","2016-06-17","025540"
11090,"1955-06-08","9999-12-31","025069","M189","ZOPPÈ DI CADORE","ZOPPE' DI CADORE","","",25,"025","05","BL","A","BL","","2016-06-17",""
11092,"1866-11-19","1968-04-05","030186","M190","ZOPPOLA","ZOPPOLA","","",30,"030","06","","C","UD","","2016-06-17",""
11091,"1968-04-06","9999-12-31","093051","M190","ZOPPOLA","ZOPPOLA","","",93,"093","06","PN","A","PN","","2016-06-17",""
11093,"1861-03-17","1929-05-28","015985","M191","ZORLESCO","ZORLESCO","","",15,"015","03","","C","MI","","2016-06-17",""
11094,"1861-03-17","1928-06-30","003904","M192","ZORNASCO","ZORNASCO","","",3,"003","01","","C","NO","","2016-06-17",""
11095,"1861-03-17","1928-06-14","016885","M193","ZORZINO","ZORZINO","","",16,"016","03","","C","BG","","2017-11-11",""
11096,"1866-11-19","9999-12-31","024121","M194","ZOVENCEDO","ZOVENCEDO","","",24,"024","05","VI","A","VI","","2016-06-17",""
11097,"1861-03-17","1927-12-03","003905","M195","ZOVERALLO","ZOVERALLO","","",3,"003","01","","C","NO","","2017-11-11",""
19931,"1861-03-17","1927-01-11","003499","M196","ZUBIENA","ZUBIENA","","",3,"003","01","","C","NO","","2016-06-17",""
11099,"1927-01-12","1992-04-15","002168","M196","ZUBIENA","ZUBIENA","","",2,"002","01","","C","VC","","2016-06-17",""
11098,"1992-04-16","9999-12-31","096082","M196","ZUBIENA","ZUBIENA","","",96,"096","01","BI","A","BI","","2016-06-17",""
19933,"1861-03-17","1927-01-11","010946","M197","ZUCCARELLO","ZUCCARELLO","","",10,"010","07","","C","GE","","2016-06-17",""
19932,"1927-01-12","1929-06-03","009069","M197","ZUCCARELLO","ZUCCARELLO","","",9,"009","07","","C","SV","","2016-06-17",""
11100,"1929-06-04","9999-12-31","009069","M197","ZUCCARELLO","ZUCCARELLO","","",9,"009","07","SV","A","SV","","2016-06-17",""
19934,"1920-10-16","1923-02-13","802890","M198","ZUCLO","ZUCLO","","",22,"022","04","","C","TN","","2019-06-04",""
22607,"1923-02-14","1928-02-23","022227","M198","ZUCLO","ZUCLO","","",22,"022","04","","C","TN","","2019-06-04",""
11101,"1952-05-17","2015-12-31","022227","M198","ZUCLO","ZUCLO","","",22,"022","04","","C","TN","","2016-06-17",""
19935,"1866-11-19","1943-06-02","024122","M199","ZUGLIANO","ZUGLIANO","","",24,"024","05","","C","VI","","2016-06-17",""
11102,"1943-06-03","9999-12-31","024122","M199","ZUGLIANO","ZUGLIANO","","",24,"024","05","VI","A","VI","","2016-06-17",""
19938,"1866-11-19","1932-09-25","030187","M200","ZUGLIO","ZUGLIO","","",30,"030","06","","C","UD","","2016-06-17",""
19936,"1946-11-15","1959-03-03","030187","M200","ZUGLIO","ZUGLIO","","",30,"030","06","","C","UD","","2016-06-17",""
19937,"1959-03-04","1968-04-05","030187","M200","ZUGLIO","ZUGLIO","","",30,"030","06","","C","UD","","2016-06-17",""
11103,"1968-04-06","9999-12-31","030136","M200","ZUGLIO","ZUGLIO","","",30,"030","06","UD","A","UD","","2016-06-17",""
19939,"1880-12-13","1927-01-11","003625","M201","ZUMAGLIA","ZUMAGLIA","","",3,"003","01","","C","NO","","2016-06-17",""
11105,"1927-01-12","1992-04-15","002169","M201","ZUMAGLIA","ZUMAGLIA","","",2,"002","01","","C","VC","","2016-06-17",""
11104,"1992-04-16","9999-12-31","096083","M201","ZUMAGLIA","ZUMAGLIA","","",96,"096","01","BI","A","BI","","2016-06-17",""
11106,"1861-03-17","9999-12-31","078155","M202","ZUMPANO","ZUMPANO","","",78,"078","18","CS","A","CS","","2016-06-17",""
11107,"1861-03-17","9999-12-31","064120","M203","ZUNGOLI","ZUNGOLI","","",64,"064","15","AV","A","AV","","2016-06-17",""
11109,"1861-03-17","1992-04-15","079159","M204","ZUNGRI","ZUNGRI","","",79,"079","18","","C","CZ","","2016-06-17",""
11108,"1992-04-16","9999-12-31","102050","M204","ZUNGRI","ZUNGRI","","",102,"102","18","VV","A","VV","","2016-06-17",""
11110,"1861-03-17","1927-07-27","095813","M206","ZURI","ZURI","","",92,"092","20","","C","CA","","2017-11-11",""